address_norm,address_raw,provider_name,clinic_name,confidence,evidence,provider_row_index,clinic_row_index
100 EXECUTIVE CENTER BLVD STE B EL PASO TX 79902,"100 Executive Center Blvd Suite B, El Paso, TX 79902, United States",Dr. Olufemi Aduroja,Hopewell Medical Center,0.97,Same phone number and same domain (hopewellmc.com) indicates provider practices at Hopewell Medical Center,255,119.0
1000 N MESA ST EL PASO TX 79902,"1000 N Mesa St, El Paso, TX 79902, United States",Dr. Carlos Viesca - Border Pain Institute,Border Pain Institute,0.95,Provider listing explicitly includes 'Border Pain Institute' and shares the same phone/website as the clinic record.,84,217.0
10090 RUSHING RD B EL PASO TX 79924,"10090 Rushing Rd B, El Paso, TX 79924, United States","Michael Velasquez, DO",Village Medical at Walgreens - Rushfair,0.96,Provider profile is on Village Medical site and shares the same phone/address as the Village Medical at Walgreens - Rushfair location.,845,360.0
101 POTASIO FABENS TX 79838,"101 Potasio, Fabens, TX 79838, United States","Marina Trevino, MD",UMC - Fabens Clinic,0.97,Same phone number and UMC outpatient clinics website aligns with UMC - Fabens Clinic.,1387,1379.0
101 POTASIO FABENS TX 79838,"101 Potasio, Fabens, TX 79838, United States","Marissa Flores, MD",UMC - Fabens Clinic,0.97,Same phone number and UMC outpatient clinics website aligns with UMC - Fabens Clinic.,1388,1379.0
101 POTASIO FABENS TX 79838,"101 Potasio, Fabens, TX 79838, United States","Janel Lynch, MD",UMC - Fabens Clinic,0.97,Same phone number and UMC outpatient clinics website aligns with UMC - Fabens Clinic.,1389,1379.0
101 POTASIO FABENS TX 79838,"101 Potasio, Fabens, TX 79838, United States",Lawson Mark E MD,UMC - Fabens Clinic,0.55,Shares the same address group but has different phone and no website; best match is the only clinic listed at this address.,1393,1379.0
101 POTASIO FABENS TX 79838,"101 Potasio, Fabens, TX 79838, United States",Torio Frederick U MD,UMC - Fabens Clinic,0.55,Shares the same address group; no phone/website provided; best match is the only clinic listed at this address.,1394,1379.0
10201 GATEWAY BLVD W 210 EL PASO TX 79925,"10201 Gateway Blvd W # 210, El Paso, TX 79925, United States","Dr. David O. Opawumi, MD",Kidney Care El Paso,0.96,Provider record shares the same phone number and domain (kidneycareep.com) as the clinic.,711,173.0
10211 ALAMEDA AVE SOCORRO TX 79927,"10211 Alameda Ave, Socorro, TX 79927, United States","Eduardo Covarrubias, MD",,0.7,"No clinic/facility record provided in this address group; website suggests affiliation with Border Pediatrics (UMC), but not listed as a separate clinic entity here",889,
10211 ALAMEDA AVE SOCORRO TX 79927,"10211 Alameda Ave, Socorro, TX 79927, United States","Niurka Curbelo, MD",,0.7,"No clinic/facility record provided in this address group; website suggests affiliation with Border Pediatrics (UMC), but not listed as a separate clinic entity here",902,
1031 N ZARAGOZA RD EL PASO TX 79907,"1031 N Zaragoza Rd, El Paso, TX 79907, United States",Juan G. Becerra MD Medical Services of the Border Zaragoza,"Medical Services of the Border, PA",0.9,Same phone number and shared 'Medical Services of the Border' branding/website indicate provider practices at this clinic,486,468.0
10435 VISTA DEL SOL DR EL PASO TX 79925,"10435 Vista del Sol Dr, El Paso, TX 79925, United States","Emilio Antonio Doring, MD",Conviva Senior Primary Care,0.93,Provider listed with Conviva website and shares address group with Conviva Senior Primary Care location,1409,718.0
10435 VISTA DEL SOL DR EL PASO TX 79925,"10435 Vista del Sol Dr, El Paso, TX 79925, United States","Fabio Spadaro, MD",Conviva Senior Primary Care,0.93,Provider listed with Conviva website and shares address group with Conviva Senior Primary Care location,1411,718.0
10600 N LOOP DR SOCORRO TX 79927,"10600 N Loop Dr, Socorro, TX 79927, United States",Dr.Carol Abalihi,Socorro Pediatrics & Autism,0.62,Only identified clinic/facility in this address group; provider likely practices at the same location,905,898.0
10640 GATEWAY N BLVD B EL PASO TX 79924,"10640 Gateway N Blvd B, El Paso, TX 79924, United States","Rafael Medrano, MD",Cardiology Care Consultants - Gateway North Boulevard,0.97,Provider phone matches Cardiology Care Consultants and physician profile is on cardiologycare.com.,859,853.0
11026 VISTA DEL SOL DR EL PASO TX 79935,"11026 Vista del Sol Dr, El Paso, TX 79935, United States",Patel Jignesh MD,Dr.Patel's pediatrics health center,0.92,Same phone number and same clinic website domain (patelphc.com) as the health center,1020,1003.0
11026 VISTA DEL SOL DR EL PASO TX 79935,"11026 Vista del Sol Dr, El Paso, TX 79935, United States",Dr. Riddhi Patel,Dr.Patel's pediatrics health center,0.92,Same phone number and same clinic website domain (patelphc.com) as the health center,1028,1003.0
11040 VISTA DEL SOL DR STE A EL PASO TX 79935,"11040 Vista del Sol Dr Suite A, El Paso, TX 79935, United States","David Monticone, MD",Eastside Women's Healthcare Center,0.93,Same phone number and same womenscareofelpaso.com organization; clinic record is the location for the providers.,1017,996.0
11040 VISTA DEL SOL DR STE A EL PASO TX 79935,"11040 Vista del Sol Dr Suite A, El Paso, TX 79935, United States","Jesus Baeza, MD",Eastside Women's Healthcare Center,0.93,Same phone number and same womenscareofelpaso.com organization; clinic record is the location for the providers.,1018,996.0
11167 1/2 LA QUINTA PL EL PASO TX 79936,"11167 1/2, La Quinta Pl, El Paso, TX 79936, United States","Dr. Anne V. Hale, MD",In Vogue Total Women's Healthcare PLLC,0.93,Same phone number and same clinic website domain indicates the doctor practices at the clinic.,1023,1004.0
1125 TEXAS AVE STE 501 EL PASO TX 79901,"1125 Texas Ave Ste 501, El Paso, TX 79901, United States",Dr. Benjamin Westbrook,El Paso Head and Neck Surgery,0.92,Provider record shares the same phone number and practice website domain as El Paso Head and Neck Surgery.,80,32.0
11331 JAMES WATT DR BUILDING 100 EL PASO TX 79936,"11331 James Watt Dr Building 100, El Paso, TX 79936, United States","Farooque Ahmed, M.D - Internal Medicine Primary Care",James Watt Medical Center,0.92,"Provider and clinic share the same phone number, indicating the provider practices at this medical center.",1011,472.0
1135 S MAIN ST STE B LAS CRUCES NM 88005,"1135 S Main St STE B, Las Cruces, NM 88005, United States","Conchita Paz, MD",MountainView Medical Group Family Care Associates,0.92,Same phone number and same MountainView docs domain; clinic record is the only facility at this address.,1231,1193.0
1135 S MAIN ST STE B LAS CRUCES NM 88005,"1135 S Main St STE B, Las Cruces, NM 88005, United States","Sergio Huerta, DO",MountainView Medical Group Family Care Associates,0.92,Same phone number and same MountainView docs domain; clinic record is the only facility at this address.,1232,1193.0
1135 S MAIN ST STE B LAS CRUCES NM 88005,"1135 S Main St STE B, Las Cruces, NM 88005, United States","Jesus Figueredo, D.O.",MountainView Medical Group Family Care Associates,0.92,Same phone number and same MountainView docs domain; clinic record is the only facility at this address.,1233,1193.0
1135 S MAIN ST STE B LAS CRUCES NM 88005,"1135 S Main St STE B, Las Cruces, NM 88005, United States","Brenda Cuellar, MD",MountainView Medical Group Family Care Associates,0.92,Same phone number and same MountainView docs domain; clinic record is the only facility at this address.,1234,1193.0
1135 S MAIN ST STE B LAS CRUCES NM 88005,"1135 S Main St STE B, Las Cruces, NM 88005, United States","Laura Ortega, CNP",MountainView Medical Group Family Care Associates,0.92,Same phone number and same MountainView docs domain; clinic record is the only facility at this address.,1235,1193.0
1135 S MAIN ST STE B LAS CRUCES NM 88005,"1135 S Main St STE B, Las Cruces, NM 88005, United States","Angelina Carver, CFNP",MountainView Medical Group Family Care Associates,0.92,Same phone number and same MountainView docs domain; clinic record is the only facility at this address.,1237,1193.0
11450 GATEWAY N BLVD STE 1100 EL PASO TX 79934,"11450 Gateway N Blvd Suite 1100, El Paso, TX 79934, United States","Pedro ""Pete"" Natividad, FNP-C",Providence Medical Partners - North East,0.93,Same address group and phone number; provider page is on Providence Medical Partners site matching the clinic name,986,980.0
11450 GATEWAY N BLVD STE 2100 EL PASO TX 79934,"11450 Gateway N Blvd ste 2100, El Paso, TX 79934, United States","Raul J Lopez, MD",West Texas Pain Institute: Northeast Location,0.93,Provider uses westtexaspain.com domain matching West Texas Pain Institute location at the shared address.,987,983.0
11450 GATEWAY N BLVD STE 2100 EL PASO TX 79934,"11450 Gateway N Blvd ste 2100, El Paso, TX 79934, United States","Kendrick Thomas, MD",West Texas Pain Institute: Northeast Location,0.97,Provider profile hosted on westtexaspain.com and shares the same address group as West Texas Pain Institute: Northeast Location.,988,983.0
11548 VISTA DEL SOL DR EL PASO TX 79936,"11548 Vista del Sol Dr, El Paso, TX 79936, United States","Dr. Maria T. Rubio-Pinaroc, MD",Sun Valley Medical Clinic,0.93,Provider shares the same phone number as Sun Valley Medical Clinic at this address,1056,492.0
1160 SADDLE BRONC DR EL PASO TX 79925,"1160 Saddle Bronc Dr, El Paso, TX 79925, United States","Dr. Joseph H. Segapeli, MD",El Paso Pediatric Associates,0.97,Same phone number and elpasopeds.com domain indicates provider profile under El Paso Pediatric Associates.,561,544.0
1160 SADDLE BRONC DR EL PASO TX 79925,"1160 Saddle Bronc Dr, El Paso, TX 79925, United States",Kronfol Rana N MD,El Paso Pediatric Associates,0.97,Shares phone number and elpasopeds.com website with the clinic.,872,544.0
