address_norm,address_raw,provider_name,clinic_name,confidence,evidence,provider_row_index,clinic_row_index
100 EXECUTIVE CENTER BLVD STE B EL PASO TX 79902,"100 Executive Center Blvd Suite B, El Paso, TX 79902, United States",Dr. Olufemi Aduroja,Hopewell Medical Center,0.96,Same phone number and same HopewellMC domain suggest the provider practices at Hopewell Medical Center.,192,147.0
1000 N MESA ST EL PASO TX 79902,"1000 N Mesa St, El Paso, TX 79902, United States",Dr. Carlos Viesca - Border Pain Institute,Advanced Center for Women's Health at Providence,0.25,"Only one clinic record in this address group, but provider is branded with Border Pain Institute, suggesting a different clinic; link is weak.",88,23.0
10090 RUSHING RD B EL PASO TX 79924,"10090 Rushing Rd B, El Paso, TX 79924, United States","Michael Velasquez, DO",Village Medical at Walgreens - Rushfair,0.93,Same phone number and both are Village Medical pages for the same address/location,721,281.0
101 RIM RD 300 B EL PASO TX 79902,"101 Rim Rd 300 B, El Paso, TX 79902, United States","Jennifer R. George, MD",Las Palmas Del Sol Surgical Specialists,0.97,Provider profile is hosted on the clinic website domain and shares the same phone number as the clinic,754,534.0
10201 GATEWAY BLVD W 201 EL PASO TX 79925,"10201 Gateway Blvd W #201, El Paso, TX 79925, United States","Yvette Jiang, MD",Elite OBGYN of El Paso,0.6,Only explicit clinic entity at this address; provider profiles are for an OBGYN group and likely practice at this clinic location,686,802.0
10201 GATEWAY BLVD W 201 EL PASO TX 79925,"10201 Gateway Blvd W #201, El Paso, TX 79925, United States","Daniel Aronson, MD",Elite OBGYN of El Paso,0.6,Only explicit clinic entity at this address; provider profiles are for an OBGYN group and likely practice at this clinic location,799,802.0
10201 GATEWAY BLVD W 330 EL PASO TX 79925,"10201 Gateway Blvd W #330, El Paso, TX 79925, United States","Randle Umeh, MD",Veema Women’s Health Center,0.96,Same phone number and website domain (veemaep.com) indicates the provider practices at Veema Women’s Health Center.,683,672.0
10211 ALAMEDA AVE SOCORRO TX 79927,"10211 Alameda Ave, Socorro, TX 79927, United States","Eduardo Covarrubias, MD",,0.35,"Both providers reference the Border Pediatrics department page, but no explicit clinic/facility record is present in this address group to link to.",822,
10211 ALAMEDA AVE SOCORRO TX 79927,"10211 Alameda Ave, Socorro, TX 79927, United States","Niurka Curbelo, MD",,0.35,"Both providers reference the Border Pediatrics department page, but no explicit clinic/facility record is present in this address group to link to.",837,
1031 N ZARAGOZA RD EL PASO TX 79907,"1031 N Zaragoza Rd, El Paso, TX 79907, United States",Juan G. Becerra MD Medical Services of the Border Zaragoza,"Medical Services of the Border, PA",0.88,Same phone number and matching organization name/website indicate the provider practices at the clinic,438,286.0
10412 VISTA DEL SOL DR EL PASO TX 79925,"10412 Vista del Sol Dr, El Paso, TX 79925, United States","Dr. Manouchehr Refaeian, MD",Eastside Rehabilitation Medicine and Pain Clinic,0.9,Same address group and identical phone number (915) 593-9300; provider likely practices at the listed pain clinic.,912,895.0
10600 N LOOP DR SOCORRO TX 79927,"10600 N Loop Dr, Socorro, TX 79927, United States",Dr.Carol Abalihi,Socorro Pediatrics & Autism,0.55,Only clinic-like entity in this address group; provider likely practices at the same location though phone numbers differ.,835,821.0
10640 GATEWAY N BLVD B EL PASO TX 79924,"10640 Gateway N Blvd B, El Paso, TX 79924, United States","Rafael Medrano, MD",Cardiology Care Consultants - Gateway North Boulevard,0.96,"Provider profile hosted on cardiologycare.com, same phone number as Cardiology Care Consultants listing.",782,778.0
